time,interactions,currentwealth.min,currentwealth.max,currentwealth.avg,currentwealth.sd,utility.min,utility.max,utility.avg,utility.sd,L2.sd.MRS,max.sd.MRS,initialwealth.min,initialwealth.max,alpha.min,alpha.max,activation.method,num.agents,num.commodities,trade.eps,termination_criterion,termination.eps,termination.time,termination.threshold
70,3448512,347.442,81726.2,1605.46,3615.18,226.183,2.11641e+17,2.79209e+13,9.64212e+14,1.89567,0.634229,175.626,84996.1,0.01,0.99,3,100000,10,0.01,-2,0.01,100,90
71,3497218,347.442,81726.2,1599.57,3607.69,226.183,2.11806e+17,2.79591e+13,9.64841e+14,1.88318,0.630038,175.626,84996.1,0.01,0.99,3,100000,10,0.01,-2,0.01,100,90
72,3545912,347.507,81726.2,1596.8,3602.57,227.247,2.11833e+17,2.80024e+13,9.65391e+14,1.87553,0.627795,175.626,84996.1,0.01,0.99,3,100000,10,0.01,-2,0.01,100,90
73,3594596,351.334,81726.2,1590.3,3589.33,227.472,2.20538e+17,2.81241e+13,9.85065e+14,1.86163,0.622949,175.626,84996.1,0.01,0.99,3,100000,10,0.01,-2,0.01,100,90
74,3643285,369.764,81726.2,1585.09,3581.33,227.472,2.20624e+17,2.81844e+13,9.86087e+14,1.8493,0.618861,175.626,84996.1,0.01,0.99,3,100000,10,0.01,-2,0.01,100,90
75,3691946,355.813,81726.2,1581.35,3575.56,227.701,2.20624e+17,2.82167e+13,9.86566e+14,1.84014,0.615904,175.626,84996.1,0.01,0.99,3,100000,10,0.01,-2,0.01,100,90
76,3740570,361.911,81726.2,1578.81,3572.7,229.261,2.20686e+17,2.82531e+13,9.87691e+14,1.83217,0.613409,175.626,84996.1,0.01,0.99,3,100000,10,0.01,-2,0.01,100,90
77,3789181,356.429,81726.2,1574.04,3564.74,229.261,2.20811e+17,2.83014e+13,9.88117e+14,1.82112,0.609707,175.626,84996.1,0.01,0.99,3,100000,10,0.01,-2,0.01,100,90
78,3837718,320.363,81726.2,1566.32,3551.14,230.805,2.23477e+17,2.83793e+13,9.94697e+14,1.80551,0.604721,175.626,84996.1,0.01,0.99,3,100000,10,0.01,-2,0.01,100,90
79,3886281,320.363,81726.2,1560.48,3538.2,230.805,2.23495e+17,2.84225e+13,9.95811e+14,1.79337,0.600729,175.626,84996.1,0.01,0.99,3,100000,10,0.01,-2,0.01,100,90
80,3934802,321.995,81726.2,1557.39,3533.53,233.298,2.24275e+17,2.84886e+13,1.00016e+15,1.78527,0.597929,175.626,84996.1,0.01,0.99,3,100000,10,0.01,-2,0.01,100,90
81,3983311,408.718,81726.2,1552.85,3525.75,233.34,2.24275e+17,2.85217e+13,1.00071e+15,1.775,0.594563,175.626,84996.1,0.01,0.99,3,100000,10,0.01,-2,0.01,100,90
82,4031797,409.057,81726.2,1550.8,3519.18,233.34,2.24275e+17,2.85445e+13,1.00267e+15,1.76958,0.592749,175.626,84996.1,0.01,0.99,3,100000,10,0.01,-2,0.01,100,90
83,4080201,408.718,81726.2,1545.03,3508.3,233.392,2.24752e+17,2.85877e+13,1.00294e+15,1.75741,0.588608,175.626,84996.1,0.01,0.99,3,100000,10,0.01,-2,0.01,100,90
84,4128651,409.592,81726.2,1542.28,3500.02,233.392,2.24947e+17,2.86017e+13,1.00356e+15,1.75111,0.586515,175.626,84996.1,0.01,0.99,3,100000,10,0.01,-2,0.01,100,90
